Wind direction from (Deg),45,,Wind direction from (Deg),145,,Wind direction from (Deg),135,,Wind direction from (Deg),185,,Wind direction from (Deg),225,,Wind direction from (Deg),40,,Wind direction from (Deg),225,,Wind direction from (Deg),165,,Wind direction from (Deg),270,,Wind direction from (Deg),270,,Wind direction from (Deg),195,,Wind direction from (Deg),195,,Wind direction from (Deg),255,,Wind direction from (Deg),0,,Wind direction from (Deg),270,,Wind direction from (Deg),135,,Wind direction from (Deg),67,,Wind direction from (Deg),165,
Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,,Slope (Steepness (%),26.8,
Tree Cover (%),27,,Tree Cover (%),0,,Tree Cover (%),72,,Tree Cover (%),0,,Tree Cover (%),0,,Tree Cover (%),0,,Tree Cover (%),0,,Tree Cover (%),6,,Tree Cover (%),3,,Tree Cover (%),61,,Tree Cover (%),1,,Tree Cover (%),1,,Tree Cover (%),18,,Tree Cover (%),70,,Tree Cover (%),90,,Tree Cover (%),86,,Tree Cover (%),65,,Tree Cover (%),90,
Shaded (Y/N),No,,Shaded (Y/N),No,,Shaded (Y/N),No,,Shaded (Y/N),No,,Shaded (Y/N),No,,Shaded (Y/N),No,,Shaded (Y/N),No,,Shaded (Y/N),No,,Shaded (Y/N),No,,Shaded (Y/N),Yes,,Shaded (Y/N),No ,,Shaded (Y/N),No ,,Shaded (Y/N),No,,Shaded (Y/N),Yes,,Shaded (Y/N),Yes,,Shaded (Y/N),Yes,,Shaded (Y/N),Yes,,Shaded (Y/N),Yes,
CBH (m),0,,CBH (m),0,,CBH (m),0,,CBH (m),0,,CBH (m),0,,CBH (m),0,,CBH (m),0,,CBH (m),0,,CBH (m),1.59,,CBH (m),0,,CBH (m),0,,CBH (m),0,,CBH (m),0,,CBH (m),2.2,,CBH (m),2.7,,CBH (m),3.2,,CBH (m),3.2,,CBH (m),2.8,
Initial DFMC (%),4,,Initial DFMC (%),3,,Initial DFMC (%),5,,Initial DFMC (%),6,,Initial DFMC (%),5,,Initial DFMC (%),8,,Initial DFMC (%),5,,Initial DFMC (%),9,,Initial DFMC (%),3,,Initial DFMC (%),6,,Initial DFMC (%),4,,Initial DFMC (%),4,,Initial DFMC (%),4,,Initial DFMC (%),2,,Initial DFMC (%),7,,Initial DFMC (%),5,,Initial DFMC (%),5,,Initial DFMC (%),11,
Adjusted DFMC (%),5,,Adjusted DFMC (%),4,,Adjusted DFMC (%),6,,Adjusted DFMC (%),7,,Adjusted DFMC (%),6,,Adjusted DFMC (%),9,,Adjusted DFMC (%),6,,Adjusted DFMC (%),10,,Adjusted DFMC (%),4,,Adjusted DFMC (%),10,,Adjusted DFMC (%),5,,Adjusted DFMC (%),5,,Adjusted DFMC (%),5,,Adjusted DFMC (%),6,,Adjusted DFMC (%),12,,Adjusted DFMC (%),10,,Adjusted DFMC (%),9,,Adjusted DFMC (%),15,
LFMC (%),100,,LFMC (%),75,,LFMC (%),100,,LFMC (%),200,,LFMC (%),80,,LFMC (%),75,,LFMC (%),75,,LFMC (%),70,,LFMC (%),90,,LFMC (%),75,,LFMC (%),75,,LFMC (%),75,,LFMC (%),75,,LFMC (%),90,,LFMC (%),100,,LFMC (%),100,,LFMC (%),100,,LFMC (%),100,
Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,,Foliar Mositure (%),100,
Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),7,,Elapsed Time (Hr),1,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,,Elapsed Time (Hr),8,
Fire Rate of Spread (m/min),0.9,,Fire Rate of Spread (m/min),50.8,,Fire Rate of Spread (m/min),8.5,,Fire Rate of Spread (m/min),2.8,,Fire Rate of Spread (m/min),34.7,,Fire Rate of Spread (m/min),104.8,,Fire Rate of Spread (m/min),12.5,,Fire Rate of Spread (m/min),0.9,,Fire Rate of Spread (m/min),38.7,,Fire Rate of Spread (m/min),17.9,,Fire Rate of Spread (m/min),24.7,,Fire Rate of Spread (m/min),58.3,,Fire Rate of Spread (m/min),25.1,,Fire Rate of Spread (m/min),1.4,,Fire Rate of Spread (m/min),3.4,,Fire Rate of Spread (m/min),19.1,,Fire Rate of Spread (m/min),3.6,,Fire Rate of Spread (m/min),0.4,
Fire Dir of Max Spread (deg),42,,Fire Dir of Max Spread (deg),144,,Fire Dir of Max Spread (deg),134,,Fire Dir of Max Spread (deg),185,,Fire Dir of Max Spread (deg),191,,Fire Dir of Max Spread (deg),39,,Fire Dir of Max Spread (deg),226,,Fire Dir of Max Spread (deg),163,,Fire Dir of Max Spread (deg),273,,Fire Dir of Max Spread (deg),274,,Fire Dir of Max Spread (deg),196,,Fire Dir of Max Spread (deg),195,,Fire Dir of Max Spread (deg),259,,Fire Dir of Max Spread (deg),0,,Fire Dir of Max Spread (deg),276,,Fire Dir of Max Spread (deg),134,,Fire Dir of Max Spread (deg),62,,Fire Dir of Max Spread (deg),164,
Fire Spread Distance (m),453.5,,Fire Spread Distance (m),24378.2,,Fire Spread Distance (m),4070,,Fire Spread Distance (m),1359,,Fire Spread Distance (m),16673,,Fire Spread Distance (m),50326.7,,Fire Spread Distance (m),6022,,Fire Spread Distance (m),448.7,,Fire Spread Distance (m),18570.4,,Fire Spread Distance (m),8583.3,,Fire Spread Distance (m),10505.3,,Fire Spread Distance (m),3495,,Fire Spread Distance (m),12029,,Fire Spread Distance (m),660.7,,Fire Spread Distance (m),1646.4,,Fire Spread Distance (m),9158.2,,Fire Spread Distance (m),1731,,Fire Spread Distance (m),210.9,
Transition to Crown (Y/N),N/A,,Transition to Crown (Y/N),N/A,,Transition to Crown (Y/N),N/A,,Transition to Crown (Y/N),N/A,,Transition to Crown (Y/N),Yes,,Transition to Crown (Y/N),N/A,,Transition to Crown (Y/N),N/A,,Transition to Crown (Y/N),N/A,,Transition to Crown (Y/N),Yes,,Transition to Crown (Y/N),N/A,,Transition to Crown (Y/N),N/A,,Transition to Crown (Y/N),N/A,,Transition to Crown (Y/N),Yes,,Transition to Crown (Y/N),No,,Transition to Crown (Y/N),No,,Transition to Crown (Y/N),Yes,,Transition to Crown (Y/N),Yes,,Transition to Crown (Y/N),No,
Fire Area (ha),10.4,,Fire Area (ha),13705.3,,Fire Area (ha),365.8,,Fire Area (ha),44.5,,Fire Area (ha),7951.8,,Fire Area (ha),54233.5,,Fire Area (ha),573,,Fire Area (ha),7.1,,Fire Area (ha),9389.6,,Fire Area (ha),2447.1,,Fire Area (ha),2328.7,,Fire Area (ha),255.5,,Fire Area (ha),4555.7,,Fire Area (ha),13,,Fire Area (ha),107.7,,Fire Area (ha),1705.7,,Fire Area (ha),100.1,,Fire Area (ha),1.5,
Fire Perimeter (m),1227,,Fire Perimeter (m),54326,,Fire Perimeter (m),9028,,Fire Perimeter (m),3039,,Fire Perimeter (m),38484,,Fire Perimeter (m),111083,,Fire Perimeter (m),12838,,Fire Perimeter (m),10088,,Fire Perimeter (m),43029,,Fire Perimeter (m),20830,,Fire Perimeter (m),23039,,Fire Perimeter (m),7653,,Fire Perimeter (m),28851,,Fire Perimeter (m),1538,,Fire Perimeter (m),4212,,Fire Perimeter (m),20091,,Fire Perimeter (m),4240,,Fire Perimeter (m),505,
Length to width ratio ,1.9,,Length to width ratio ,3.6,,Length to width ratio ,3.8,,Length to width ratio ,3.4,,Length to width ratio ,2.9,,Length to width ratio ,3.9,,Length to width ratio ,5.1,,Length to width ratio ,2.5,,Length to width ratio ,3.2,,Length to width ratio ,2.7,,Length to width ratio ,3.9,,Length to width ratio ,3.9,,Length to width ratio ,2.8,,Length to width ratio ,2.8,,Length to width ratio ,2.4,,Length to width ratio ,4.1,,Length to width ratio ,2.8,,Length to width ratio ,2.5,
Heading Spread Distance (m),456.9,,Heading Spread Distance (m),24519.4,,Heading Spread Distance (m),4104.6,,Heading Spread Distance (m),1359.9,,Heading Spread Distance (m),16687.8,,Heading Spread Distance (m),50712.1,,Heading Spread Distance (m),6067.6,,Heading Spread Distance (m),450.4,,Heading Spread Distance (m),18993.7,,Heading Spread Distance (m),8869.3,,Heading Spread Distance (m),10521.2,,Heading Spread Distance (m),3498.6,,Heading Spread Distance (m),12426.4,,Heading Spread Distance (m),660.7,,Heading Spread Distance (m),1733.1,,Heading Spread Distance (m),9238.8,,Heading Spread Distance (m),1814.4,,Heading Spread Distance (m),211.2,
Backing Spread Distance (m),39.3,,Backing Spread Distance (m),496.1,,Backing Spread Distance (m),75.6,,Backing Spread Distance (m),30.5,,Backing Spread Distance (m),518.7,,Backing Spread Distance (m),883,,Backing Spread Distance (m),58.4,,Backing Spread Distance (m),20.5,,Backing Spread Distance (m),495.3,,Backing Spread Distance (m),323.8,,Backing Spread Distance (m),182.3,,Backing Spread Distance (m),59.7,,Backing Spread Distance (m),410.8,,Backing Spread Distance (m),22.4,,Backing Spread Distance (m),82.3,,Backing Spread Distance (m),144.9,,Backing Spread Distance (m),63.4,,Backing Spread Distance (m),8.9,
Fire Length (m),496.2,,Fire Length (m),25015.5,,Fire Length (m),4180.2,,Fire Length (m),1390.5,,Fire Length (m),17206.5,,Fire Length (m),51595.1,,Fire Length (m),6126.1,,Fire Length (m),470.9,,Fire Length (m),19489,,Fire Length (m),9193.1,,Fire Length (m),10703.6,,Fire Length (m),3558.4,,Fire Length (m),12837.2,,Fire Length (m),683.1,,Fire Length (m),1815.4,,Fire Length (m),9383.7,,Fire Length (m),1877.9,,Fire Length (m),220,
Fire Max Width (m),267.9,,Fire Max Width (m),6975.7,,Fire Max Width (m),1114.1,,Fire Max Width (m),407.4,,Fire Max Width (m),5884.2,,Fire Max Width (m),13383.5,,Fire Max Width (m),1190.9,,Fire Max Width (m),192.2,,Fire Max Width (m),6134.3,,Fire Max Width (m),3389.2,,Fire Max Width (m),2770.1,,Fire Max Width (m),914.2,,Fire Max Width (m),4518.5,,Fire Max Width (m),243.1,,Fire Max Width (m),755.4,,Fire Max Width (m),2314.4,,Fire Max Width (m),678.5,,Fire Max Width (m),86.5,
Probabilty  of Ignition (%),79,,Probabilty  of Ignition (%),81,,Probabilty  of Ignition (%),56,,Probabilty  of Ignition (%),51,,Probabilty  of Ignition (%),61,,Probabilty  of Ignition (%),35,,Probabilty  of Ignition (%),60,,Probabilty  of Ignition (%),32,,Probabilty  of Ignition (%),81,,Probabilty  of Ignition (%),32,,Probabilty  of Ignition (%),68,,Probabilty  of Ignition (%),68,,Probabilty  of Ignition (%),67,,Probabilty  of Ignition (%),57,,Probabilty  of Ignition (%),21,,Probabilty  of Ignition (%),29,,Probabilty  of Ignition (%),36,,Probabilty  of Ignition (%),12,
Total Fire Area (km²),0.104,,Total Fire Area (km²),136.95,,Total Fire Area (km²),3.65,,Total Fire Area (km²),0.44,,Total Fire Area (km²),79.52,,Total Fire Area (km²),542.31,,Total Fire Area (km²),5.73,,Total Fire Area (km²),0.07,,Total Fire Area (km²),93.89,,Total Fire Area (km²),24.47,,Total Fire Area (km²),23.29,,Total Fire Area (km²),2.55,,Total Fire Area (km²),45.56,,Total Fire Area (km²),0.13,,Total Fire Area (km²),1.07,,Total Fire Area (km²),17.06,,Total Fire Area (km²),1.001,,Total Fire Area (km²),0.015,
Vegetation Type,Area (km²),,Vegetation Type (Raster Clip),Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),,Vegetation Type,Area (km²),
Woody cropland,0.14,,Herbaceous cropland,137.97,,Herbaceous cropland,3.76,,Grassland wet and peat/semi-peat land,0.45,,Medium grassland [0.3-0.7 m),78.92,,High grassland [ ≥ 0.7 m),350.65,,Low shrubland [0-0.5 m),5.88,,Urban discontinuous fabric,0.09,,High shrubland [≥ 1.5 m),11.72,,Medium shrubland [0.5-1.5 m),24.5,,Medium shrubland [0.5-1.5 m),23.37,,Herbaceous cropland,2.59,,High shrubland [≥ 1.5 m),42.82,,Closed needleleaf evergreen forest,0.17,,Closed needleleaf evergreen forest,1.09,,Closed broadleaf deciduous forest,17.07,,Closed broadleaf deciduous forest,1.02,,Closed mixed forest,0.018,
,,,,,,,,,,,,Closed broadleaf deciduous forest,0.63,,Herbaceous cropland,16.03,,,,,,,,Low grassland [0-0.3 m),2,,Low grassland [0-0.3 m),0.02,,Herbaceous cropland,0.57,,,,,Herbaceous cropland,1.78,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Grassland wet and peat/semi-peat land,175.02,,,,,,,,Herbaceous cropland,1.07,,,,,,,,,,,Woody cropland,0.47,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Open broadleaf deciduous forest,78.48,,,,,,,,,,,Closed broadleaf deciduous forest,0.56,,,,,,,,,,,,,,,,
Total clipped area,0.14,,Total clipped area,137.97,,Total clipped area,3.76,,Total clipped area,0.45,,Total area,79.55,,Total clipped area,541.7,,Total clipped area,5.88,,Total clipped area,0.09,,Total clipped area,93.27,,Total clipped area,24.52,,Total clipped area,23.94,,Total clipped area,2.59,,Total clipped area,45.63,,Total clipped area,0.17,,Total clipped area,1.09,,Total clipped area,17.07,,Total clipped area,1.02,,Total clipped area,0.018,
Overall Error %,34.6,,Overall Error %,0.74,,Overall Error %,3.01,,Overall Error %,2.27,,Overall Error %,0.04,,Overall Error %,-0.11,,Overall Error %,2.62,,Overall Error %,28.57,,Overall Error %,-0.66,,Overall Error %,0.2,,Overall Error %,2.79,,Overall Error %,1.57,,Overall Error %,0.15,,Overall Error %,30.77,,Overall Error %,1.87,,Overall Error %,0.06,,Overall Error %,1.9,,Overall Error %,20,
Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,,,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),,Habitat losses,Costs (£),
"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation",,,"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation","£2,940,000",,"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation","£5,860,000",,"Heath, scrub and open vegetation","£12,250,000",,"Heath, scrub and open vegetation","£11,685,000",,"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation","£21,410,000",,"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation",£0,,"Heath, scrub and open vegetation",£0,
Drier grasslands,£0,,Drier grasslands,"£13,797,000",,Drier grasslands,"£376,000",,Drier grasslands,£0,,Drier grasslands,"£7,892,000.00",,Drier grasslands,"£36,668,000",,Drier grasslands,£0,,Drier grasslands,£0,,Drier grasslands,"£307,000",,Drier grasslands,"£2,000",,Drier grasslands,"£57,000",,Drier grasslands,"£259,000",,Drier grasslands,"£178,000",,Drier grasslands,£0,,Drier grasslands,£0,,Drier grasslands,£0,,Drier grasslands,£0,,Drier grasslands,£0,
Broad-leaved woodland – low,"£70,000",,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,
Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,,Wet woodlands,£0,
"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,,"Bogs, marshes, fens",£0,
Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,"£405,000",,Wet grasslands,,,Wet grasslands,"£157,518,000",,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,,Wet grasslands,£0,
Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,"£39,240,000",,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,"£235,000",,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,,Broad-leaved woodland – low,£0,
Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,"£472,500.00",,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,"£420,000",,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,£0,,Broad-leaved woodland – high,"£12,802,500",,Broad-leaved woodland – high,"£765,000",,Broad-leaved woodland – high,£0,
Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,,,Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,"£42,500",,Coniferous woodland,"£272,500",,Coniferous woodland,£0,,Coniferous woodland,£0,,Coniferous woodland,£0,
Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,£0,,Broad-leaved and mixed woodland,"£5,400",
Total habitat loss,"£70,000",,Total habitat loss,"£13,797,000",,Total habitat loss,"£376,000",,Total habitat loss,"£405,000",,Total habitat loss,"£8,364,500",,Total habitat loss,"£194,186,000",,Total habitat loss,"£2,940,000",,Total habitat loss,£0,,Total habitat loss,"£45,407,000",,Total habitat loss,"£12,252,000",,Total habitat loss,"£11,742,000",,Total habitat loss,"£259,000",,Total habitat loss,"£22,243,000",,Total habitat loss,"£42,500",,Total habitat loss,"£272,500",,Total habitat loss,"£12,802,500",,Total habitat loss,"£765,000",,Total habitat loss,"£5,400",
